Date,Tournament,W/L,Side,Vs_Team,Game_Length,Champion,Vs_Champion,Kills,Deaths,Assists,KDA,Spells,CS,Delta_CS,Items,Date_parsed,tournaments_played,date,blue_side_team,red_side_team,winner,blue_side_bans,red_side_bans,blue_side_picks,red_side_picks,blue_side_roster,red_side_roster,tournament_curr_total_games,tournament_curr_wins,tournament_curr_losses,tournament_curr_win_percentage,tournament_type,teams_region,teammate_role_top,teammate_role_jungle,teammate_role_mid,teammate_role_adc,teammate_role_support,enemy_role_top,enemy_role_jungle,enemy_role_mid,enemy_role_adc,enemy_role_support,bans,teammate_top_champion,teammate_jungle_champion,teammate_mid_champion,teammate_adc_champion,teammate_support_champion,opponent_top_champion,opponent_jungle_champion,opponent_mid_champion,opponent_adc_champion,opponent_support_champion,teammate_top_ign,teammate_jungle_ign,teammate_mid_ign,teammate_adc_ign,teammate_support_ign,opponent_top_ign,opponent_jungle_ign,opponent_mid_ign,opponent_adc_ign,opponent_support_ign
2013-05-08 09:30:00,"Korea,Champions 2013 Spring",Win,Blue,NaJin Shield,21:04,Orianna,Jayce,5,0,10,15.0,"Ignite,Flash",180,+64,"Seraph's Embrace,Cloth Armor,Cloth Armor,Boots of Speed,Void Staff, ",2013-05-08 09:30:00,0,2013-05-08 09:30:00,SK Telecom T1 2,NaJin Shield,SK Telecom T1 2,"Diana,Kha'Zix,Sona","Fiddlesticks,Twisted Fate,Elise","Kennen,Jarvan IV,Orianna,Varus,Thresh","Rumble,Hecarim,Jayce,Caitlyn,Lulu","Impact,bengi,Faker,Piglet,PoohManDu","Expession,NoFe,Save,Locodoco,a Wolf",10,7,3,0.7,Playoffs,Korea,Diver,Diver,Burst,Marksman,Catcher,Battlemage,Diver,Artillery,Sniper,Enchanter,"Diana,Elise,Fiddlesticks,Kha'Zix,Sona,Twisted Fate",Kennen,Jarvan IV,Orianna,Varus,Thresh,Rumble,Hecarim,Jayce,Caitlyn,Lulu,Impact,bengi,Faker,Piglet,PoohManDu,Expession,NoFe,Save,Locodoco,a Wolf
2013-05-08 10:30:00,"Korea,Champions 2013 Spring",Win,Red,NaJin Shield,30:25,Jayce,Diana,14,3,12,8.67,"Ignite,Flash",229,+52,"Muramana,Maw of Malmortius,The Black Cleaver,Ionian Boots of Lucidity,Last Whisper, ",2013-05-08 10:30:00,0,2013-05-08 10:30:00,NaJin Shield,SK Telecom T1 2,SK Telecom T1 2,"Fiddlesticks,Karthus,Shen","Twisted Fate,Kha'Zix,Elise","Rumble,Jarvan IV,Diana,Miss Fortune,Lulu","Kennen,Nasus,Jayce,Vayne,Sona","Expession,NoFe,Save,Locodoco,a Wolf","Impact,bengi,Faker,Piglet,PoohManDu",11,8,3,0.7273,Playoffs,Korea,Diver,Juggernaut,Artillery,Glasscannon,Enchanter,Battlemage,Diver,Diver,Nimble,Enchanter,"Elise,Fiddlesticks,Karthus,Kha'Zix,Shen,Twisted Fate",Kennen,Nasus,Jayce,Vayne,Sona,Rumble,Jarvan IV,Diana,Miss Fortune,Lulu,Impact,bengi,Faker,Piglet,PoohManDu,Expession,NoFe,Save,Locodoco,a Wolf
2013-05-08 11:30:00,"Korea,Champions 2013 Spring",Win,Blue,NaJin Shield,37:07,Orianna,Karthus,5,2,11,8.0,"Ignite,Flash",248,+31,"Athene's Unholy Grail,Sorcerer's Shoes - Homeguard,Doran's Ring,Haunting Guise,Void Staff,Needlessly Large Rod  ",2013-05-08 11:30:00,0,2013-05-08 11:30:00,SK Telecom T1 2,NaJin Shield,SK Telecom T1 2,"Diana,Kha'Zix,Sona","Fiddlesticks,Twisted Fate,Elise","Kennen,Jarvan IV,Orianna,Caitlyn,Nunu","Jayce,Lee Sin,Karthus,Kog'Maw,Lulu","Impact,bengi,Faker,Piglet,PoohManDu","Expession,NoFe,Save,Locodoco,a Wolf",12,9,3,0.75,Playoffs,Korea,Diver,Diver,Burst,Sniper,Vanguard,Artillery,Diver,Battlemage,Glasscannon,Enchanter,"Diana,Elise,Fiddlesticks,Kha'Zix,Sona,Twisted Fate",Kennen,Jarvan IV,Orianna,Caitlyn,Nunu,Jayce,Lee Sin,Karthus,Kog'Maw,Lulu,Impact,bengi,Faker,Piglet,PoohManDu,Expession,NoFe,Save,Locodoco,a Wolf
2013-05-29 09:30:00,"Korea,Champions 2013 Spring",Loss,Blue,MVP Ozone,33:07,Karthus,Kha'Zix,5,5,4,1.8,"Exhaust,Flash",342,+41,"Seraph's Embrace,Rabadon's Deathcap,Rod of Ages,Sorcerer's Shoes,Amplifying Tome,Blasting Wand  ",2013-05-29 09:30:00,0,2013-05-29 09:30:00,SK Telecom T1 2,MVP Ozone,MVP Ozone,"Ryze,Lee Sin,Kennen","Fiddlesticks,Twisted Fate,Jayce","Rumble,Jarvan IV,Karthus,Twitch,Thresh","Shen,Elise,Kha'Zix,Vayne,Zyra","Impact,bengi,Faker,Piglet,PoohManDu","Homme,DanDy,Dade,imp,Mata",13,10,3,0.7692,Playoffs,Korea,Battlemage,Diver,Battlemage,Glasscannon,Catcher,Warden,Diver,Assassin,Glasscannon,Catcher,"Fiddlesticks,Jayce,Kennen,Lee Sin,Ryze,Twisted Fate",Rumble,Jarvan IV,Karthus,Twitch,Thresh,Shen,Elise,Kha'Zix,Vayne,Zyra,Impact,bengi,Faker,Piglet,PoohManDu,Homme,DanDy,Dade,imp,Mata
2013-05-29 10:30:00,"Korea,Champions 2013 Spring",Win,Red,MVP Ozone,36:08,Ryze,Orianna,13,2,6,9.5,"Ignite,Flash",291,+19,"Seraph's Embrace,Rod of Ages,Sorcerer's Shoes,Spirit Visage,Void Staff,Guardian Angel   ",2013-05-29 10:30:00,0,2013-05-29 10:30:00,MVP Ozone,SK Telecom T1 2,SK Telecom T1 2,"Fiddlesticks,LeBlanc,Jayce","Twisted Fate,Shen,Kennen","Renekton,Jarvan IV,Orianna,Ezreal,Blitzcrank","Elise,Nasus,Ryze,Varus,Thresh","Homme,DanDy,Dade,imp,Mata","Impact,bengi,Faker,Piglet,PoohManDu",14,10,4,0.7143,Playoffs,Korea,Diver,Juggernaut,Battlemage,Marksman,Catcher,Diver,Diver,Burst,Nimble,Catcher,"Fiddlesticks,Jayce,Kennen,LeBlanc,Shen,Twisted Fate",Elise,Nasus,Ryze,Varus,Thresh,Renekton,Jarvan IV,Orianna,Ezreal,Blitzcrank,Impact,bengi,Faker,Piglet,PoohManDu,Homme,DanDy,Dade,imp,Mata
2013-05-29 11:30:00,"Korea,Champions 2013 Spring",Loss,Blue,MVP Ozone,40:43,Orianna,Ryze,6,5,9,3.0,"Ignite,Flash",298,-6,"Crystalline Flask,Mejai's Soulstealer,Athene's Unholy Grail,Rabadon's Deathcap,Sorcerer's Shoes - Homeguard,Void Staff  ",2013-05-29 11:30:00,0,2013-05-29 11:30:00,SK Telecom T1 2,MVP Ozone,MVP Ozone,"Shen,Kennen,Kha'Zix","Fiddlesticks,Twisted Fate,Jayce","Elise,Nasus,Orianna,Varus,Lulu","Renekton,Jarvan IV,Ryze,Vayne,Thresh","Impact,bengi,Faker,Piglet,PoohManDu","Homme,DanDy,Dade,imp,Mata",15,11,4,0.7333,Playoffs,Korea,Diver,Juggernaut,Burst,Marksman,Enchanter,Diver,Diver,Battlemage,Glasscannon,Catcher,"Fiddlesticks,Jayce,Kennen,Kha'Zix,Shen,Twisted Fate",Elise,Nasus,Orianna,Varus,Lulu,Renekton,Jarvan IV,Ryze,Vayne,Thresh,Impact,bengi,Faker,Piglet,PoohManDu,Homme,DanDy,Dade,imp,Mata
2013-05-29 12:30:00,"Korea,Champions 2013 Spring",Loss,Red,MVP Ozone,36:34,Ryze,Karthus,7,6,8,2.5,"Ignite,Flash",317,+34,"Seraph's Embrace,Spirit Visage,Rod of Ages,Sorcerer's Shoes - Homeguard,Void Staff, ",2013-05-29 12:30:00,0,2013-05-29 12:30:00,MVP Ozone,SK Telecom T1 2,MVP Ozone,"Fiddlesticks,LeBlanc,Jayce","Twisted Fate,Shen,Kennen","Renekton,Elise,Karthus,Caitlyn,Thresh","Jax,Jarvan IV,Ryze,Varus,Sona","Homme,DanDy,Dade,imp,Mata","Impact,bengi,Faker,Piglet,PoohManDu",16,11,5,0.6875,Playoffs,Korea,Skirmisher,Diver,Battlemage,Marksman,Enchanter,Diver,Diver,Battlemage,Sniper,Catcher,"Fiddlesticks,Jayce,Kennen,LeBlanc,Shen,Twisted Fate",Jax,Jarvan IV,Ryze,Varus,Sona,Renekton,Elise,Karthus,Caitlyn,Thresh,Impact,bengi,Faker,Piglet,PoohManDu,Homme,DanDy,Dade,imp,Mata
2013-06-05 09:30:00,"Korea,Champions 2013 Spring",Win,Red,CJ Entus Frost,31:29,Karthus,Kha'Zix,8,3,7,5.0,"Exhaust,Flash",305,+33,"Seraph's Embrace,Crystalline Flask,Seeker's Armguard,Rod of Ages,Sorcerer's Shoes,Rabadon's Deathcap    ",2013-06-05 09:30:00,0,2013-06-05 09:30:00,CJ Entus Frost,SK Telecom T1 2,SK Telecom T1 2,"Fiddlesticks,LeBlanc,Elise","Twisted Fate,Jayce,Ryze","Kennen,Rammus,Kha'Zix,Vayne,Zyra","Shen,Jarvan IV,Karthus,Caitlyn,Thresh","Shy,CloudTemplar,RapidStar,Space,Muse","Impact,bengi,Faker,Piglet,PoohManDu",17,11,6,0.6471,Playoffs,Korea,Warden,Diver,Battlemage,Sniper,Catcher,Diver,Vanguard,Assassin,Glasscannon,Catcher,"Elise,Fiddlesticks,Jayce,LeBlanc,Ryze,Twisted Fate",Shen,Jarvan IV,Karthus,Caitlyn,Thresh,Kennen,Rammus,Kha'Zix,Vayne,Zyra,Impact,bengi,Faker,Piglet,PoohManDu,Shy,CloudTemplar,RapidStar,Space,Muse
2013-06-05 10:30:00,"Korea,Champions 2013 Spring",Win,Blue,CJ Entus Frost,30:50,Kha'Zix,Diana,8,1,7,15.0,"Ignite,Flash",302,+76,"Muramana,Crystalline Flask,Maw of Malmortius,Boots of Mobility - Homeguard,Last Whisper,The Black Cleaver   ",2013-06-05 10:30:00,0,2013-06-05 10:30:00,SK Telecom T1 2,CJ Entus Frost,SK Telecom T1 2,"Thresh,Ryze,Elise","Twisted Fate,Jayce,Kennen","Shen,Evelynn,Kha'Zix,Caitlyn,Nami","Irelia,Nasus,Diana,Twitch,Sona","Impact,bengi,Faker,Piglet,PoohManDu","Shy,CloudTemplar,RapidStar,Space,Muse",18,12,6,0.6667,Playoffs,Korea,Warden,Assassin,Assassin,Sniper,Enchanter,Diver,Juggernaut,Diver,Glasscannon,Enchanter,"Elise,Jayce,Kennen,Ryze,Thresh,Twisted Fate",Shen,Evelynn,Kha'Zix,Caitlyn,Nami,Irelia,Nasus,Diana,Twitch,Sona,Impact,bengi,Faker,Piglet,PoohManDu,Shy,CloudTemplar,RapidStar,Space,Muse
2013-06-05 11:30:00,"Korea,Champions 2013 Spring",Win,Red,CJ Entus Frost,45:45,Karthus,Kha'Zix,7,6,11,3.0,"Exhaust,Flash",366,-8,"Seraph's Embrace,Zhonya's Hourglass,Rod of Ages,Needlessly Large Rod,Sorcerer's Shoes - Homeguard,Void Staff    ",2013-06-05 11:30:00,0,2013-06-05 11:30:00,CJ Entus Frost,SK Telecom T1 2,SK Telecom T1 2,"Evelynn,Thresh,Shen","Twisted Fate,Jayce,Ryze","Elise,Maokai,Kha'Zix,Vayne,Sona","Kennen,Nasus,Karthus,Caitlyn,Fiddlesticks","Shy,CloudTemplar,RapidStar,Space,Muse","Impact,bengi,Faker,Piglet,PoohManDu",19,13,6,0.6842,Playoffs,Korea,Diver,Juggernaut,Battlemage,Sniper,Catcher,Diver,Vanguard,Assassin,Glasscannon,Enchanter,"Evelynn,Jayce,Ryze,Shen,Thresh,Twisted Fate",Kennen,Nasus,Karthus,Caitlyn,Fiddlesticks,Elise,Maokai,Kha'Zix,Vayne,Sona,Impact,bengi,Faker,Piglet,PoohManDu,Shy,CloudTemplar,RapidStar,Space,Muse
2013-07-05 10:00:00,"Korea,Champions 2013 Summer",Win,Blue,Incredible Miracle 2,27:52,Kassadin,Gragas,6,1,8,14.0,"Ignite,Flash",206,-1,"Seraph's Embrace,Doran's Ring,Crystalline Flask,Needlessly Large Rod,Mejai's Soulstealer,Sorcerer's Shoes   ",2013-07-05 10:00:00,0,2013-07-05 10:00:00,SK Telecom T1,Incredible Miracle 2,SK Telecom T1,"Jarvan IV,Lee Sin,Ryze","Twisted Fate,Jayce,Elise","Kennen,Nunu,Kassadin,Caitlyn,Nami","LeBlanc,Xin Zhao,Gragas,Varus,Thresh","Impact,bengi,Faker,Piglet,PoohManDu","Sylph,Lilac (Jeon Ho-jin),kurO,Scarlet (Jeong Jae-ho),BBuing",20,14,6,0.7,Regular Season,Korea,Diver,Vanguard,Assassin,Sniper,Enchanter,Burst,Diver,Vanguard,Marksman,Catcher,"Elise,Jarvan IV,Jayce,Lee Sin,Ryze,Twisted Fate",Kennen,Nunu,Kassadin,Caitlyn,Nami,LeBlanc,Xin Zhao,Gragas,Varus,Thresh,Impact,bengi,Faker,Piglet,PoohManDu,Sylph,Lilac (Jeon Ho-jin),kurO,Scarlet (Jeong Jae-ho),BBuing
2013-07-05 12:00:00,"Korea,Champions 2013 Summer",Win,Red,Incredible Miracle 2,32:07,Zed,Orianna,4,3,3,2.33,"Ignite,Flash",296,+54,"Blade of the Ruined King,Doran's Blade,The Black Cleaver,Boots of Mobility - Homeguard,Last Whisper,    ",2013-07-05 12:00:00,1,2013-07-05 12:00:00,Incredible Miracle 2,SK Telecom T1,SK Telecom T1,"Evelynn,Kennen,Fiddlesticks","Twisted Fate,Jayce,Elise","Renekton,Jarvan IV,Orianna,Varus,Thresh","Zac,Nunu,Zed,Caitlyn,Nami","Sylph,Lilac (Jeon Ho-jin),kurO,Scarlet (Jeong Jae-ho),BBuing","Impact,bengi,Faker,Piglet,PoohManDu",0,0,0,0.0,Regular Season,Korea,Vanguard,Vanguard,Assassin,Sniper,Enchanter,Diver,Diver,Burst,Marksman,Catcher,"Elise,Evelynn,Fiddlesticks,Jayce,Kennen,Twisted Fate",Zac,Nunu,Zed,Caitlyn,Nami,Renekton,Jarvan IV,Orianna,Varus,Thresh,Impact,bengi,Faker,Piglet,PoohManDu,Sylph,Lilac (Jeon Ho-jin),kurO,Scarlet (Jeong Jae-ho),BBuing
2013-07-13 10:30:00,"Korea,Champions 2013 Summer",Win,Blue,NaJin White Shield,37:11,Orianna,Vladimir,9,2,7,8.0,"Ignite,Flash",328,+1,"Doran's Ring,Rabadon's Deathcap,Athene's Unholy Grail,Sorcerer's Shoes,Void Staff,Liandry's Torment ",2013-07-13 10:30:00,1,2013-07-13 10:30:00,SK Telecom T1,NaJin White Shield,SK Telecom T1,"Ryze,Shen,Nunu","Jayce,Kennen,Twisted Fate","Zac,Elise,Orianna,Caitlyn,Nami","Dr. Mundo,Lee Sin,Vladimir,Vayne,Thresh","Impact,bengi,Faker,Piglet,PoohManDu","Save,NoFe,Ggoong,Locodoco,GorillA",1,1,0,1.0,Regular Season,Korea,Vanguard,Diver,Burst,Sniper,Enchanter,Juggernaut,Diver,Battlemage,Glasscannon,Catcher,"Jayce,Kennen,Nunu,Ryze,Shen,Twisted Fate",Zac,Elise,Orianna,Caitlyn,Nami,Dr. Mundo,Lee Sin,Vladimir,Vayne,Thresh,Impact,bengi,Faker,Piglet,PoohManDu,Save,NoFe,Ggoong,Locodoco,GorillA
